,test_no,f1,precision,recall,tn,fp,fn,tp,preds
0,0,0.3263888888888889,0.2422680412371134,0.5,0,50,0,47,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1,0,0.6464408233276158,0.6603479036574487,0.6529787234042553,27,23,11,36,"[0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0
 1 0 1 1 0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
 1 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1]"
2,0,0.7117226197028068,0.7718052738336714,0.7280851063829787,26,24,3,44,"[0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0
 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1]"
3,0,0.676979267375658,0.695045045045045,0.6842553191489362,28,22,9,38,"[0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0
 0 0 1 1 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1]"
4,0,0.7412781393363918,0.7506533101045296,0.7448936170212765,33,17,8,39,"[0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0
 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1
 1 1 0 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 1 1]"
5,0,0.7284668389319552,0.7527322404371585,0.7361702127659575,30,20,6,41,"[0 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0
 1 0 1 1 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1]"
6,0,0.8134615384615385,0.8167527993109389,0.8129787234042554,43,7,11,36,"[0 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0
 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1
 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1]"
7,0,0.683144599303136,0.7216346153846154,0.6961702127659575,26,24,6,41,"[1 1 0 0 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0
 0 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1]"
8,0,0.6903687396807925,0.7472109533468559,0.7074468085106382,25,25,4,43,"[1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0
 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1]"
9,0,0.7173232595790611,0.7449308755760369,0.7261702127659575,29,21,6,41,"[0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 1 0
 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1]"
